id,date,store_nbr,item_nbr,unit_sales,onpromotion,type_x,cluster,class,perishable,transactions,dcoilwtico,locale,locale_name,description,transferred,dayofweek,is_weekend,lag_7,rolling_7,promo_lag_interaction,family_BEAUTY,family_BEVERAGES,family_BREAD/BAKERY,family_CLEANING,family_DAIRY,family_DELI,family_EGGS,family_FROZEN FOODS,family_GROCERY I,family_GROCERY II,family_HARDWARE,family_HOME APPLIANCES,family_LAWN AND GARDEN,family_LINGERIE,"family_LIQUOR,WINE,BEER",family_MEATS,family_PERSONAL CARE,family_POULTRY,family_PREPARED FOODS,family_SEAFOOD,city_Babahoyo,city_Cayambe,city_Cuenca,city_Daule,city_El Carmen,city_Esmeraldas,city_Guaranda,city_Guayaquil,city_Ibarra,city_Latacunga,city_Loja,city_Machala,city_Playas,city_Quevedo,city_Quito,city_Riobamba,city_Salinas,city_Santo Domingo,state_Bolivar,state_Chimborazo,state_Cotopaxi,state_El Oro,state_Esmeraldas,state_Guayas,state_Imbabura,state_Loja,state_Los Rios,state_Manabi,state_Pichincha,state_Santa Elena,state_Santo Domingo de los Tsachilas,state_Tungurahua,type_y_Work Day
136111,2013-01-05,15,179579,3.0,0.0,C,15,1032,0,1543,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0015290519877675,0.0069139728112645,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
158306,2013-01-05,46,1047743,17.0,0.0,A,14,1124,0,4935,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0259938837920489,0.0678032093701769,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
141274,2013-01-05,24,577740,3.0,0.0,D,1,1032,0,2578,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0091743119266055,0.0114806655531829,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
181162,2013-01-06,18,1060036,5.0,0.0,B,16,1138,0,1405,93.12,National,Ecuador,Recupero puente Navidad,False,6,1,0.0305810397553516,0.019091820123047,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
153190,2013-01-05,41,164036,3.0,0.0,D,4,1048,0,1021,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0137614678899082,0.0099584346392101,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
144519,2013-01-05,28,208514,6.0,0.0,E,10,1010,0,1033,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0045871559633027,0.0150325376857861,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
149386,2013-01-05,37,115894,35.0,0.0,D,2,1016,0,1770,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0581039755351682,0.0901292627751115,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
164393,2013-01-05,54,213788,3.0,0.0,C,3,1096,0,949,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0428134556574923,0.0505512590118184,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
156604,2013-01-05,45,673496,1.0,0.0,A,11,4214,0,4331,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0015290519877675,0.0028546903740036,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
128321,2013-01-05,6,517905,6.0,0.0,D,13,2636,1,2154,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0259938837920489,0.0211214613416774,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
125186,2013-01-05,3,691945,13.0,0.0,D,8,3026,0,3623,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0382262996941896,0.0282252056068838,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
148719,2013-01-05,34,1047743,17.0,0.0,B,6,1124,0,2599,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0076452599388379,0.0439549250512695,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
154050,2013-01-05,43,108952,3.0,0.0,E,10,3024,0,1205,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0061162079510703,0.0114806655531829,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
132735,2013-01-05,10,804974,9.0,0.0,C,15,1060,0,1269,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0336391437308868,0.0576550032770248,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
134395,2013-01-05,12,770461,1.0,0.0,C,15,1030,0,1293,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0015290519877675,0.0058991522019493,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
154441,2013-01-05,43,793341,1.0,0.0,E,10,3020,0,1205,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0015290519877675,0.0104658449438677,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
183799,2013-01-06,24,1104598,12.0,0.0,D,1,4114,0,2061,93.12,National,Ecuador,Recupero puente Navidad,False,6,1,0.0657492354740061,0.0581624135816824,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
154438,2013-01-05,43,788172,3.0,0.0,E,10,3004,0,1205,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0061162079510703,0.026702974692911,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
188657,2013-01-06,31,1089045,24.0,0.0,B,10,3020,0,1468,93.12,National,Ecuador,Recupero puente Navidad,False,6,1,0.010703363914373,0.0348215395674327,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
136518,2013-01-05,15,770461,1.0,0.0,C,15,1030,0,1543,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0061162079510703,0.0069139728112645,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
164712,2013-01-05,54,765517,1.0,0.0,C,3,1060,0,949,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0015290519877675,0.0195992304277046,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
122412,2013-01-05,1,108698,4.0,0.0,D,13,2644,1,1509,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0076452599388379,0.0124954861624981,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
135400,2013-01-05,14,208699,1.0,0.0,C,7,1034,0,2052,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0030581039755351,0.0094510243345525,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
150430,2013-01-05,37,1099990,5.0,0.0,D,2,1030,0,1770,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.010703363914373,0.0282252056068838,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
164405,2013-01-05,54,218728,5.0,0.0,C,3,3044,0,949,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0015290519877675,0.0135103067718133,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
137059,2013-01-05,16,463901,2.0,0.0,C,3,3034,0,1109,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0336391437308868,0.0525809002304488,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
156735,2013-01-05,45,812716,14.0,0.0,A,11,1318,0,4331,93.12,National,Ecuador,Recupero puente Navidad,False,5,1,0.0015290519877675,0.019091820123047,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
